
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-02-27 20:22:45 /api/instruments ................................................................... ~ 510.41ms
  2026-02-27 20:22:45 /api/dictionaries/strategy-models .................................................... ~ 0.26ms
  2026-02-27 20:22:45 /api/dictionaries/setups ........................................................... ~ 527.26ms
  2026-02-27 20:22:45 /api/dictionaries/killzones ........................................................ ~ 560.85ms
  2026-02-27 20:22:46 /api/dictionaries/trade-tags ....................................................... ~ 552.46ms
  2026-02-27 20:22:46 /api/dictionaries/sessions ......................................................... ~ 555.69ms
  2026-02-27 20:22:46 /api/price-feed/quotes ............................................................. ~ 538.05ms
  2026-02-27 20:22:47 /api/instruments ................................................................... ~ 540.34ms
  2026-02-27 20:22:47 /api/accounts ...................................................................... ~ 536.50ms
  2026-02-27 20:22:47 /api/instruments ................................................................... ~ 552.03ms
  2026-02-27 20:22:47 /api/dictionaries/strategy-models .................................................. ~ 558.93ms
  2026-02-27 20:22:48 /api/dictionaries/setups ........................................................... ~ 539.08ms
  2026-02-27 20:22:48 /api/dictionaries/killzones ......................................................... ~ 30.00ms
  2026-02-27 20:22:48 /api/dictionaries/trade-tags ....................................................... ~ 534.18ms
  2026-02-27 20:22:48 /api/dictionaries/sessions ......................................................... ~ 531.48ms
  2026-02-27 20:22:48 /api/trades ......................................................................... ~ 34.32ms
  2026-02-27 20:22:49 /api/instruments ................................................................... ~ 553.60ms
  2026-02-27 20:22:49 /api/price-feed/quotes ............................................................. ~ 555.05ms
  2026-02-27 20:22:49 /api/reports ........................................................................ ~ 34.67ms
  2026-02-27 20:22:49 /api/trades ........................................................................ ~ 560.64ms
  2026-02-27 20:22:50 /api/price-feed/quotes ............................................................... ~ 0.45ms
  2026-02-27 20:22:50 /api/trade-checklist/resolve ......................................................... ~ 0.36ms
  2026-02-27 20:22:50 /api/trade-checklist/resolve ....................................................... ~ 501.67ms
  2026-02-27 20:22:53 /api/price-feed/quotes ............................................................... ~ 0.71ms
  2026-02-27 20:22:55 /api/price-feed/quotes ............................................................... ~ 0.49ms
  2026-02-27 20:22:58 /api/price-feed/quotes ............................................................... ~ 1.05ms
  2026-02-27 20:22:58 /api/accounts ........................................................................ ~ 0.46ms
  2026-02-27 20:22:59 /api/dictionaries/strategy-models .................................................. ~ 504.31ms
  2026-02-27 20:22:59 /api/dictionaries/setups ........................................................... ~ 528.69ms
  2026-02-27 20:22:59 /api/dictionaries/killzones ........................................................ ~ 542.27ms
  2026-02-27 20:22:59 /api/dictionaries/trade-tags ....................................................... ~ 537.51ms
  2026-02-27 20:22:59 /api/dictionaries/sessions .......................................................... ~ 24.69ms
  2026-02-27 20:23:00 /api/checklists ...................................................................... ~ 0.42ms
  2026-02-27 20:23:00 /api/checklists/1/items ............................................................ ~ 503.64ms
  2026-02-27 20:23:01 /api/price-feed/quotes ............................................................. ~ 512.63ms
  2026-02-27 20:23:02 /api/checklists/1 .................................................................... ~ 0.52ms
  2026-02-27 20:23:04 /api/price-feed/quotes ............................................................... ~ 0.61ms
  2026-02-27 20:23:07 /api/price-feed/quotes ............................................................... ~ 0.50ms
  2026-02-27 20:23:10 /api/price-feed/quotes ............................................................... ~ 0.41ms
  2026-02-27 20:23:12 /api/price-feed/quotes ............................................................. ~ 508.19ms
  2026-02-27 20:23:13 /api/instruments ................................................................... ~ 503.84ms
  2026-02-27 20:23:13 /api/dictionaries/strategy-models .................................................. ~ 539.10ms
  2026-02-27 20:23:13 /api/dictionaries/setups ............................................................ ~ 18.07ms
  2026-02-27 20:23:13 /api/dictionaries/killzones ........................................................ ~ 541.51ms
  2026-02-27 20:23:13 /api/dictionaries/trade-tags ....................................................... ~ 536.88ms
  2026-02-27 20:23:13 /api/dictionaries/sessions .......................................................... ~ 28.06ms
  2026-02-27 20:23:14 /api/instruments ................................................................... ~ 527.85ms
  2026-02-27 20:23:14 /api/price-feed/quotes ............................................................. ~ 542.66ms
  2026-02-27 20:23:14 /api/trades .......................................................................... ~ 0.31ms
  2026-02-27 20:23:14 /api/accounts ...................................................................... ~ 510.68ms
  2026-02-27 20:23:14 /api/instruments ................................................................... ~ 547.35ms
  2026-02-27 20:23:15 /api/dictionaries/strategy-models ................................................... ~ 42.59ms
  2026-02-27 20:23:15 /api/dictionaries/setups ........................................................... ~ 525.92ms
  2026-02-27 20:23:15 /api/dictionaries/killzones ........................................................ ~ 535.54ms
  2026-02-27 20:23:15 /api/dictionaries/trade-tags ........................................................ ~ 34.00ms
  2026-02-27 20:23:15 /api/dictionaries/sessions ......................................................... ~ 533.18ms
  2026-02-27 20:23:16 /api/reports ....................................................................... ~ 534.49ms
  2026-02-27 20:23:16 /api/instruments ................................................................... ~ 556.40ms
  2026-02-27 20:23:16 /api/trades .......................................................................... ~ 0.72ms
  2026-02-27 20:23:16 /api/trade-checklist/resolve ......................................................... ~ 0.23ms
  2026-02-27 20:23:17 /api/price-feed/quotes ............................................................. ~ 503.83ms
  2026-02-27 20:23:17 /api/trade-checklist/resolve ......................................................... ~ 0.41ms
  2026-02-27 20:23:20 /api/price-feed/quotes ............................................................... ~ 0.48ms
  2026-02-27 20:23:22 /api/price-feed/quotes ............................................................... ~ 0.77ms
  2026-02-27 20:23:25 /api/price-feed/quotes ............................................................. ~ 501.00ms
  2026-02-27 20:23:27 /api/price-feed/quotes ............................................................. ~ 501.01ms
  2026-02-27 20:23:29 /api/price-feed/quotes ............................................................. ~ 502.09ms
  2026-02-27 20:23:31 /api/price-feed/quotes ............................................................... ~ 0.41ms
  2026-02-27 20:23:34 /api/price-feed/quotes ............................................................... ~ 0.44ms
  2026-02-27 20:23:37 /api/price-feed/quotes ............................................................... ~ 0.59ms
  2026-02-27 20:23:40 /api/price-feed/quotes ............................................................... ~ 0.39ms
  2026-02-27 20:23:42 /api/price-feed/quotes ............................................................... ~ 0.33ms
  2026-02-27 20:23:44 /api/price-feed/quotes ............................................................... ~ 0.54ms
  2026-02-27 20:23:47 /api/price-feed/quotes ............................................................. ~ 501.65ms
  2026-02-27 20:23:50 /api/price-feed/quotes ............................................................. ~ 504.38ms
  2026-02-27 20:23:53 /api/price-feed/quotes ............................................................... ~ 0.35ms
  2026-02-27 20:23:55 /api/price-feed/quotes ............................................................... ~ 2.21ms
  2026-02-27 20:23:57 /api/price-feed/quotes ............................................................... ~ 0.79ms
  2026-02-27 20:23:59 /api/price-feed/quotes ............................................................... ~ 0.63ms
  2026-02-27 20:24:02 /api/price-feed/quotes .............................................................. ~ 19.06ms
  2026-02-27 20:24:05 /api/price-feed/quotes ............................................................. ~ 518.62ms
  2026-02-27 20:24:08 /api/price-feed/quotes ............................................................. ~ 515.53ms
  2026-02-27 20:24:10 /api/price-feed/quotes ................................................................... ~ 1s
  2026-02-27 20:24:13 /api/price-feed/quotes ............................................................... ~ 1.04ms
