
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-01 15:05:02 /api/analytics/dashboard-summary ................................................... ~ 501.17ms
  2026-03-01 15:05:03 /api/trades .......................................................................... ~ 0.10ms
  2026-03-01 15:05:03 /api/missed-trades ................................................................. ~ 543.36ms
  2026-03-01 15:05:47 /api/analytics/dashboard-summary ..................................................... ~ 0.39ms
  2026-03-01 15:05:47 /api/trades ........................................................................ ~ 509.33ms
  2026-03-01 15:05:47 /api/missed-trades ................................................................. ~ 576.88ms
  2026-03-01 15:06:32 /api/analytics/dashboard-summary ................................................... ~ 502.01ms
  2026-03-01 15:06:32 /api/trades .............................................................................. ~ 1s
  2026-03-01 15:06:33 /api/missed-trades ................................................................. ~ 562.49ms
  2026-03-01 15:07:17 /api/analytics/dashboard-summary ................................................... ~ 501.27ms
  2026-03-01 15:07:17 /api/trades .......................................................................... ~ 0.10ms
  2026-03-01 15:07:17 /api/missed-trades ................................................................. ~ 546.60ms
  2026-03-01 15:08:02 /api/analytics/dashboard-summary ................................................... ~ 500.80ms
  2026-03-01 15:08:03 /api/trades .......................................................................... ~ 0.17ms
  2026-03-01 15:08:03 /api/missed-trades ................................................................. ~ 541.84ms
  2026-03-01 15:08:47 /api/analytics/dashboard-summary ..................................................... ~ 0.38ms
  2026-03-01 15:08:47 /api/trades ........................................................................ ~ 506.78ms
  2026-03-01 15:08:47 /api/missed-trades ................................................................. ~ 568.40ms
  2026-03-01 15:09:32 /api/analytics/dashboard-summary ................................................... ~ 503.15ms
  2026-03-01 15:09:32 /api/trades .......................................................................... ~ 0.24ms
  2026-03-01 15:09:32 /api/missed-trades .................................................................. ~ 52.93ms
  2026-03-01 15:10:17 /api/analytics/dashboard-summary ................................................... ~ 500.97ms
  2026-03-01 15:10:17 /api/trades .......................................................................... ~ 0.21ms
  2026-03-01 15:10:17 /api/missed-trades ................................................................. ~ 531.76ms
  2026-03-01 15:11:02 /api/analytics/dashboard-summary ......................................................... ~ 1s
  2026-03-01 15:11:03 /api/trades .......................................................................... ~ 0.24ms
  2026-03-01 15:11:03 /api/missed-trades ................................................................. ~ 556.78ms
  2026-03-01 15:11:47 /api/analytics/dashboard-summary ..................................................... ~ 0.30ms
  2026-03-01 15:11:47 /api/trades ........................................................................ ~ 495.47ms
  2026-03-01 15:11:47 /api/missed-trades ................................................................. ~ 551.84ms
  2026-03-01 15:12:32 /api/analytics/dashboard-summary ..................................................... ~ 0.20ms
  2026-03-01 15:12:32 /api/trades ........................................................................ ~ 518.07ms
  2026-03-01 15:12:33 /api/missed-trades ................................................................. ~ 562.07ms
  2026-03-01 15:13:17 /api/analytics/dashboard-summary ................................................... ~ 501.32ms
  2026-03-01 15:13:18 /api/trades .......................................................................... ~ 0.19ms
  2026-03-01 15:13:18 /api/missed-trades ................................................................. ~ 543.00ms
  2026-03-01 15:14:02 /api/analytics/dashboard-summary ................................................... ~ 499.96ms
  2026-03-01 15:14:02 /api/trades .............................................................................. ~ 1s
  2026-03-01 15:14:03 /api/missed-trades ................................................................. ~ 575.36ms
