
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-02-28 11:43:22 /api/price-feed/quotes ............................................................... ~ 0.63ms
  2026-02-28 11:43:24 /api/price-feed/quotes ............................................................... ~ 0.53ms
  2026-02-28 11:43:25 /api/price-feed/quotes ............................................................... ~ 0.73ms
  2026-02-28 11:43:27 /api/price-feed/quotes ............................................................. ~ 504.02ms
  2026-02-28 11:43:28 /api/price-feed/quotes ............................................................. ~ 504.06ms
  2026-02-28 11:43:30 /api/price-feed/quotes ............................................................. ~ 502.06ms
  2026-02-28 11:43:31 /api/price-feed/quotes ............................................................. ~ 502.18ms
  2026-02-28 11:43:33 /api/price-feed/quotes ............................................................. ~ 501.56ms
  2026-02-28 11:43:34 /api/price-feed/quotes ............................................................. ~ 514.97ms
  2026-02-28 11:43:36 /api/price-feed/quotes ............................................................... ~ 0.45ms
  2026-02-28 11:43:37 /api/price-feed/quotes ............................................................. ~ 511.65ms
  2026-02-28 11:43:39 /api/price-feed/quotes ............................................................... ~ 0.85ms
  2026-02-28 11:43:40 /api/price-feed/quotes ............................................................... ~ 0.35ms
  2026-02-28 11:43:42 /api/price-feed/quotes ............................................................. ~ 505.15ms
  2026-02-28 11:43:43 /api/price-feed/quotes ............................................................. ~ 524.00ms
  2026-02-28 11:43:45 /api/price-feed/quotes ............................................................. ~ 508.35ms
  2026-02-28 11:43:46 /api/price-feed/quotes ............................................................... ~ 0.33ms
  2026-02-28 11:43:47 /api/price-feed/quotes ............................................................. ~ 516.94ms
  2026-02-28 11:43:48 /api/price-feed/quotes ............................................................... ~ 0.29ms
  2026-02-28 11:43:50 /api/price-feed/quotes ............................................................... ~ 0.57ms
  2026-02-28 11:43:51 /api/price-feed/quotes ............................................................... ~ 0.83ms
  2026-02-28 11:43:53 /api/price-feed/quotes ............................................................... ~ 0.67ms
  2026-02-28 11:43:54 /api/price-feed/quotes ............................................................. ~ 504.00ms
  2026-02-28 11:43:56 /api/price-feed/quotes ............................................................. ~ 521.45ms
  2026-02-28 11:43:57 /api/price-feed/quotes ............................................................. ~ 505.13ms
  2026-02-28 11:43:59 /api/price-feed/quotes ............................................................. ~ 500.82ms
  2026-02-28 11:44:00 /api/price-feed/quotes ............................................................. ~ 521.44ms
  2026-02-28 11:44:02 /api/price-feed/quotes ............................................................... ~ 0.69ms
  2026-02-28 11:44:03 /api/price-feed/quotes ............................................................... ~ 0.45ms
  2026-02-28 11:44:05 /api/price-feed/quotes ............................................................. ~ 502.34ms
  2026-02-28 11:44:06 /api/price-feed/quotes ............................................................. ~ 514.52ms
  2026-02-28 11:44:08 /api/price-feed/quotes ............................................................. ~ 502.08ms
  2026-02-28 11:44:09 /api/price-feed/quotes ............................................................. ~ 504.57ms
  2026-02-28 11:44:11 /api/price-feed/quotes ............................................................. ~ 512.56ms
  2026-02-28 11:44:12 /api/price-feed/quotes ............................................................. ~ 505.44ms
  2026-02-28 11:44:14 /api/price-feed/quotes ............................................................... ~ 0.40ms
  2026-02-28 11:44:15 /api/price-feed/quotes ............................................................... ~ 0.66ms
  2026-02-28 11:44:17 /api/price-feed/quotes ............................................................. ~ 524.12ms
  2026-02-28 11:44:18 /api/price-feed/quotes ............................................................... ~ 0.63ms
  2026-02-28 11:44:20 /api/price-feed/quotes ............................................................... ~ 0.54ms
  2026-02-28 11:44:21 /api/price-feed/quotes ............................................................. ~ 502.89ms
  2026-02-28 11:44:23 /api/price-feed/quotes ............................................................. ~ 502.14ms
  2026-02-28 11:44:24 /api/price-feed/quotes ............................................................. ~ 526.80ms
  2026-02-28 11:44:26 /api/price-feed/quotes ............................................................. ~ 515.34ms
  2026-02-28 11:44:27 /api/price-feed/quotes ............................................................... ~ 0.39ms
  2026-02-28 11:44:29 /api/price-feed/quotes ............................................................... ~ 0.67ms
  2026-02-28 11:44:30 /api/price-feed/quotes ............................................................... ~ 0.80ms
  2026-02-28 11:44:32 /api/price-feed/quotes ............................................................... ~ 0.64ms
  2026-02-28 11:44:33 /api/price-feed/quotes ............................................................... ~ 0.96ms
  2026-02-28 11:44:35 /api/price-feed/quotes ................................................................... ~ 1s
  2026-02-28 11:44:36 /api/price-feed/quotes ............................................................. ~ 489.58ms
  2026-02-28 11:44:38 /api/price-feed/quotes ............................................................. ~ 501.99ms
  2026-02-28 11:44:39 /api/price-feed/quotes ............................................................. ~ 513.00ms
  2026-02-28 11:44:41 /api/price-feed/quotes ............................................................. ~ 515.62ms
  2026-02-28 11:44:42 /api/price-feed/quotes ............................................................... ~ 0.78ms
  2026-02-28 11:44:44 /api/price-feed/quotes ............................................................... ~ 0.38ms
  2026-02-28 11:44:45 /api/price-feed/quotes ............................................................... ~ 0.78ms
  2026-02-28 11:44:47 /api/price-feed/quotes ............................................................. ~ 500.97ms
  2026-02-28 11:44:48 /api/price-feed/quotes ............................................................... ~ 0.62ms
  2026-02-28 11:44:50 /api/price-feed/quotes ............................................................... ~ 0.84ms
  2026-02-28 11:44:51 /api/price-feed/quotes ............................................................. ~ 520.84ms
  2026-02-28 11:44:53 /api/price-feed/quotes ............................................................. ~ 503.57ms
  2026-02-28 11:44:54 /api/price-feed/quotes ............................................................. ~ 516.12ms
  2026-02-28 11:44:56 /api/price-feed/quotes ............................................................... ~ 0.35ms
  2026-02-28 11:44:57 /api/price-feed/quotes ............................................................... ~ 0.33ms
  2026-02-28 11:44:59 /api/price-feed/quotes ............................................................... ~ 0.59ms
  2026-02-28 11:45:00 /api/price-feed/quotes ............................................................... ~ 0.31ms
  2026-02-28 11:45:02 /api/price-feed/quotes ............................................................... ~ 0.32ms
  2026-02-28 11:45:03 /api/price-feed/quotes ............................................................... ~ 0.44ms
  2026-02-28 11:45:05 /api/price-feed/quotes ............................................................. ~ 501.37ms
  2026-02-28 11:45:06 /api/price-feed/quotes ............................................................... ~ 0.87ms
  2026-02-28 11:45:08 /api/price-feed/quotes ............................................................. ~ 510.80ms
  2026-02-28 11:45:09 /api/price-feed/quotes ............................................................. ~ 507.25ms
  2026-02-28 11:45:11 /api/price-feed/quotes ............................................................. ~ 521.66ms
  2026-02-28 11:45:12 /api/price-feed/quotes ............................................................... ~ 0.40ms
  2026-02-28 11:45:14 /api/price-feed/quotes ............................................................... ~ 0.79ms
  2026-02-28 11:45:15 /api/auth/me ......................................................................... ~ 0.83ms
  2026-02-28 11:45:15 /api/user/preferences .............................................................. ~ 514.65ms
  2026-02-28 11:45:21 /api/auth/me ......................................................................... ~ 0.57ms
  2026-02-28 11:45:35 /sanctum/csrf-cookie ............................................................... ~ 511.93ms
  2026-02-28 11:45:36 /api/auth/login .................................................................... ~ 501.14ms
  2026-02-28 11:45:36 /api/user/preferences ................................................................ ~ 0.20ms
  2026-02-28 11:45:36 /api/accounts ...................................................................... ~ 499.61ms
  2026-02-28 11:45:36 /api/instruments ................................................................... ~ 564.52ms
  2026-02-28 11:45:37 /api/fx-rates ....................................................................... ~ 48.09ms
  2026-02-28 11:45:37 /api/instruments ................................................................... ~ 503.26ms
  2026-02-28 11:45:39 /api/analytics/dashboard-summary ................................................... ~ 502.41ms
  2026-02-28 11:45:39 /api/analytics/overview ............................................................ ~ 504.32ms
  2026-02-28 11:45:40 /api/user/preferences ................................................................ ~ 0.22ms
  2026-02-28 11:45:59 /api/user/preferences .............................................................. ~ 515.86ms
  2026-02-28 11:46:06 /api/accounts ........................................................................ ~ 0.46ms
  2026-02-28 11:46:09 /api/user/preferences .............................................................. ~ 517.82ms
  2026-02-28 11:46:11 /api/accounts ...................................................................... ~ 513.35ms
  2026-02-28 11:46:12 /api/reports ......................................................................... ~ 0.30ms
  2026-02-28 11:46:12 /api/analytics/dashboard-summary ................................................... ~ 502.33ms
  2026-02-28 11:46:12 /api/trades .......................................................................... ~ 0.30ms
  2026-02-28 11:46:12 /api/missed-trades ................................................................. ~ 542.35ms
  2026-02-28 11:46:13 /api/dictionaries/strategy-models .................................................... ~ 0.28ms
  2026-02-28 11:46:13 /api/instruments ................................................................... ~ 515.07ms
  2026-02-28 11:46:13 /api/dictionaries/setups ........................................................... ~ 553.66ms
  2026-02-28 11:46:13 /api/dictionaries/killzones .............................................................. ~ 1s
  2026-02-28 11:46:13 /api/dictionaries/trade-tags ....................................................... ~ 533.62ms
  2026-02-28 11:46:14 /api/dictionaries/sessions .......................................................... ~ 20.44ms
  2026-02-28 11:46:14 /api/instruments .................................................................... ~ 30.37ms
  2026-02-28 11:46:14 /api/trades ........................................................................ ~ 511.85ms
